iter	Passed	Remaining
593	22849	128593
594	22887	128555
595	22927	128526
596	22965	128484
597	23016	128516
598	23052	128462
599	23091	128426
600	23129	128385
601	23180	128416
602	23238	128485
603	23276	128446
604	23315	128407
605	23352	128361
606	23388	128309
607	23444	128367
608	23484	128333
609	23522	128291
610	23560	128252
611	23599	128216
612	23651	128250
613	23692	128223
614	23729	128179
615	23767	128134
616	23805	128096
617	23857	128126
618	23897	128096
619	23937	128066
620	23975	128023
621	24013	127984
622	24066	128022
623	24106	127985
624	24144	127944
625	24185	127917
626	24225	127888
627	24279	127929
628	24319	127898
629	24359	127867
630	24397	127824
631	24437	127795
632	24489	127824
633	24529	127794
634	24572	127774
635	24613	127747
636	24653	127717
637	24703	127740
638	24744	127709
639	24785	127684
640	24827	127660
641	24866	127623
642	24916	127641
643	24955	127604
644	24992	127561
645	25034	127535
646	25076	127515
647	25130	127554
648	25169	127517
649	25210	127488
650	25248	127446
651	25287	127404
652	25335	127417
653	25375	127382
654	25414	127345
655	25453	127307
656	25492	127268
657	25540	127273
658	25578	127232
659	25617	127193
660	25654	127144
661	25693	127109
662	25739	127103
663	25776	127058
664	25815	127017
665	25855	126984
666	25891	126935
667	25938	126937
668	25979	126909
669	26018	126871
670	26058	126834
671	26095	126788
672	26150	126830
673	26194	126813
674	26232	126770
675	26268	126718
676	26309	126689
677	26360	126708
678	26402	126683
679	26440	126640
680	26480	126607
681	26516	126558
682	26571	126593
683	26610	126554
684	26651	126525
685	26692	126497
686	26731	126461
687	26786	126494
688	26825	126458
689	26868	126438
690	26908	126403
691	26945	126356
692	27001	126398
693	27041	126361
694	27077	126311
695	27117	126275
696	27159	126248
697	27216	126294
698	27256	126262
699	27296	126225
700	27336	126192
701	27378	126165
702	27436	126214
703	27477	126184
704	27519	126162
705	27558	126121
706	27596	126076
707	27630	126016
708	27689	126066
709	27724	126011
710	27765	125978
711	27804	125942
712	27839	125882
713	27894	125916
714	27936	125889
715	27976	125856
716	28016	125819
717	28055	125782
