geo_key;municipio;uf;total_contratos;inadimplentes_totais;adimplentes_totais;inad_parciais_lucrativos;inad_parciais_nao_lucrativos;inad_parciais_lucrativos_pct;inadimplentes_totais_pct_country;adimplentes_totais_pct_country;inad_parciais_lucrativos_pct_country;inad_parciais_nao_lucrativos_pct_country
LAPA_PR;LAPA;PR;375;114;261;30;69;0,08;0,009153685562871366;0,007734020801849054;0,011017260374586852;0,009333152982551062
ITAPERUCU_PR;ITAPERUÇU;PR;367;127;240;27;71;0,07356948228882834;0,010197526898988276;0,007111743266068095;0,009915534337128168;0,009603679155958339
GARUVA_SC;GARUVA;SC;346;90;256;23;55;0,06647398843930635;0,007226593865424763;0,007585859483805968;0,008446566287183254;0,0074394697687001216
RIO NEGRINHO_SC;RIO NEGRINHO;SC;337;100;237;17;62;0,050445103857566766;0,008029548739360848;0,007022846475242244;0,006243114212265883;0,008386311375625592
LONDRINA_PR;LONDRINA;PR;332;107;225;13;67;0,0391566265060241;0,008591617151116107;0,006667259311938839;0,004774146162320969;0,009062626809143784
VIDEIRA_SC;VIDEIRA;SC;322;64;258;15;42;0,046583850931677016;0,005138911193190943;0,007645124011023202;0,005508630187293426;0,00568104964155282
COLOMBO_PR;COLOMBO;PR;318;110;208;27;58;0,08490566037735849;0,008832503613296933;0,006163510830592349;0,009915534337128168;0,007845259028811037
CIDADE GAUCHA_PR;CIDADE GAÚCHA;PR;318;53;265;19;24;0,059748427672955975;0,00425566083186125;0,007852549856283522;0,00697759823723834;0,003246314080887326
PORTO ALEGRE_RS;PORTO ALEGRE;RS;316;145;171;35;79;0,11075949367088607;0,01164284567207323;0,005067117077073518;0,012853470437017995;0,010685783849587448
FLORIANOPOLIS_SC;FLORIANÓPOLIS;SC;313;103;210;25;57;0,07987220447284345;0,008270435201541674;0,006222775357809583;0,00918105031215571;0,007709995942107399
QUERENCIA DO NORTE_PR;QUERÊNCIA DO NORTE;PR;313;32;281;13;18;0,04153354632587859;0,0025694555965954714;0,008326666074021395;0,004774146162320969;0,0024347355606654944
JOACABA_SC;JOAÇABA;SC;306;81;225;28;44;0,0915032679738562;0,0065039344788822865;0,006667259311938839;0,010282776349614395;0,005951575814960097
ITAPOA_SC;ITAPOÁ;SC;304;64;240;15;36;0,049342105263157895;0,005138911193190943;0,007111743266068095;0,005508630187293426;0,004869471121330989
MAUA DA SERRA_PR;MAUÁ DA SERRA;PR;302;76;226;19;45;0,06291390728476821;0,006102457041914244;0,006696891575547456;0,00697759823723834;0,006086838901663736
IMPERATRIZ_MA;IMPERATRIZ;MA;302;64;238;14;42;0,046357615894039736;0,005138911193190943;0,007052478738850861;0,005141388174807198;0,00568104964155282
PINHAIS_PR;PINHAIS;PR;301;105;196;21;58;0,06976744186046512;0,00843102617632889;0,005807923667288944;0,007712082262210797;0,007845259028811037
SINOP_MT;SINOP;MT;283;55;228;11;39;0,038869257950530034;0,004416251806648466;0,00675615610276469;0,004039662137348513;0,0052752603814419045
RIO AZUL_PR;RIO AZUL;PR;281;13;268;4;8;0,014234875444839857;0,0010438413361169101;0,007941446647109373;0,0014689680499449136;0,0010821046936291085
RIO BRANCO DO SUL_PR;RIO BRANCO DO SUL;PR;280;85;195;24;45;0,08571428571428572;0,006825116428456721;0,0057782914036803275;0,008813808299669483;0,006086838901663736
CUIABA_MT;CUIABÁ;MT;273;90;183;12;59;0,04395604395604396;0,007226593865424763;0,005422704240376923;0,0044069041498347415;0,007980522115514676
LAGES_SC;LAGES;SC;268;46;222;6;33;0,022388059701492536;0,0036935924201059902;0,006578362521112988;0,0022034520749173708;0,004463681861220073
UMUARAMA_PR;UMUARAMA;PR;267;79;188;32;36;0,1198501872659176;0,00634334350409507;0,005570865558420008;0,011751744399559309;0,004869471121330989
ANANINDEUA_PA;ANANINDEUA;PA;263;90;173;11;49;0,04182509505703422;0,007226593865424763;0,005126381604290752;0,004039662137348513;0,00662789124847829
GOIANIA_GO;GOIÂNIA;GO;261;74;187;12;45;0,04597701149425287;0,0059418660671270275;0,005541233294811391;0,0044069041498347415;0,006086838901663736
CURITIBANOS_SC;CURITIBANOS;SC;261;56;205;18;32;0,06896551724137931;0,004496547294042075;0,006074614039766498;0,006610356224752111;0,004328418774516434
GRAVATAI_RS;GRAVATAÍ;RS;257;84;173;10;47;0,038910505836575876;0,006744820941063112;0,005126381604290752;0,003672420124862284;0,006357365075071013
MEDIANEIRA_PR;MEDIANEIRA;PR;257;35;222;6;24;0,023346303501945526;0,0028103420587762967;0,006578362521112988;0,0022034520749173708;0,003246314080887326
GUAJARA MIRIM_RO;GUAJARÁ-MIRIM;RO;257;85;172;14;50;0,054474708171206226;0,006825116428456721;0,005096749340682135;0,005141388174807198;0,006763154335181929
CHAPECO_SC;CHAPECÓ;SC;256;62;194;14;41;0,0546875;0,004978320218403725;0,00574865914007171;0,005141388174807198;0,005545786554849182
SALVADOR_BA;SALVADOR;BA;251;121;130;7;68;0,027888446215139442;0,009715753974626627;0,003852194269120218;0,002570694087403599;0,009197889895847423
JUNDIAI_SP;JUNDIAÍ;SP;250;82;168;20;47;0,08;0,006584229966275896;0,004978220286247666;0,007344840249724568;0,006357365075071013
CRICIUMA_SC;CRICIÚMA;SC;249;62;187;17;35;0,06827309236947791;0,004978320218403725;0,005541233294811391;0,006243114212265883;0,00473420803462735
JARAGUA DO SUL_SC;JARAGUÁ DO SUL;SC;248;68;180;12;49;0,04838709677419355;0,005460093142765377;0,005333807449551071;0,0044069041498347415;0,00662789124847829
FORTALEZA_CE;FORTALEZA;CE;247;137;110;10;51;0,04048582995951417;0,011000481772924361;0,003259548996947877;0,003672420124862284;0,006898417421885568
RIBEIRAO PRETO_SP;RIBEIRÃO PRETO;SP;242;68;174;18;36;0,0743801652892562;0,005460093142765377;0,005156013867899369;0,006610356224752111;0,004869471121330989
PATO BRANCO_PR;PATO BRANCO;PR;240;36;204;8;21;0,03333333333333333;0,0028906375461699055;0,006044981776157881;0,0029379360998898272;0,00284052482077641
DUQUE DE CAXIAS_RJ;DUQUE DE CAXIAS;RJ;232;140;92;39;73;0,16810344827586207;0,011241368235105187;0,0027261682519927697;0,014322438486962909;0,009874205329365617
MARIALVA_PR;MARIALVA;PR;231;99;132;22;58;0,09523809523809523;0,007949253251967239;0,003911458796337452;0,008079324274697026;0,007845259028811037
MARINGA_PR;MARINGÁ;PR;225;51;174;12;26;0,05333333333333334;0,004095069857074032;0,005156013867899369;0,0044069041498347415;0,003516840254294603
RIO BRANCO DO IVAI_PR;RIO BRANCO DO IVAÍ;PR;222;21;201;4;13;0,018018018018018018;0,001686205235265778;0,00595608498533203;0,0014689680499449136;0,0017584201271473015
UBERLANDIA_MG;UBERLÂNDIA;MG;214;57;157;7;42;0,03271028037383177;0,004576842781435683;0,004652265386552879;0,002570694087403599;0,00568104964155282
GUARAPUAVA_PR;GUARAPUAVA;PR;205;58;147;14;38;0,06829268292682927;0,004657138268829292;0,0043559427504667085;0,005141388174807198;0,005139997294738266
BLUMENAU_SC;BLUMENAU;SC;201;84;117;23;53;0,11442786069651742;0,006744820941063112;0,0034669748422081962;0,008446566287183254;0,007168943595292844
SANTA TEREZA_RS;SANTA TEREZA;RS;199;19;180;3;12;0,01507537688442211;0,001525614260478561;0,005333807449551071;0,0011017260374586854;0,001623157040443663
BRUSQUE_SC;BRUSQUE;SC;193;45;148;9;30;0,046632124352331605;0,0036132969327123815;0,004385575014075325;0,0033051781123760557;0,004057892601109158
PARIPUEIRA_AL;PARIPUEIRA;AL;191;64;127;14;30;0,07329842931937172;0,005138911193190943;0,003763297478294367;0,005141388174807198;0,004057892601109158
NITEROI_RJ;NITERÓI;RJ;189;102;87;28;44;0,14814814814814814;0,008190139714148064;0,0025780069339496844;0,010282776349614395;0,005951575814960097
PASSO FUNDO_RS;PASSO FUNDO;RS;189;40;149;4;32;0,021164021164021163;0,003211819495744339;0,004415207277683943;0,0014689680499449136;0,004328418774516434
BELO HORIZONTE_MG;BELO HORIZONTE;MG;188;74;114;15;43;0,0797872340425532;0,0059418660671270275;0,003378078051382345;0,005508630187293426;0,005816312728256459
CAMPINAS_SP;CAMPINAS;SP;188;59;129;10;40;0,05319148936170213;0,0047374337562229;0,003822562005511601;0,003672420124862284;0,005410523468145543
SAPOPEMA_PR;SAPOPEMA;PR;187;32;155;6;19;0,03208556149732621;0,0025694555965954714;0,004593000859335645;0,0022034520749173708;0,002569998647369133
CORBELIA_PR;CORBÉLIA;PR;183;44;139;17;20;0,09289617486338798;0,003533001445318773;0,004118884641597772;0,006243114212265883;0,0027052617340727714
SOROCABA_SP;SOROCABA;SP;179;27;152;3;19;0,01675977653631285;0,002167978159627429;0,004504104068509793;0,0011017260374586854;0,002569998647369133
RONDON_PR;RONDON;PR;175;39;136;14;21;0,08;0,003131524008350731;0,00402998785077192;0,005141388174807198;0,00284052482077641
JOINVILLE_SC;JOINVILLE;SC;173;44;129;9;30;0,05202312138728324;0,003533001445318773;0,003822562005511601;0,0033051781123760557;0,004057892601109158
NOVA IGUACU_RJ;NOVA IGUAÇU;RJ;173;87;86;25;40;0,14450867052023122;0,006985707403243938;0,0025483746703410673;0,00918105031215571;0,005410523468145543
CACADOR_SC;CAÇADOR;SC;172;41;131;8;29;0,046511627906976744;0,003292114983137948;0,003881826532728835;0,0029379360998898272;0,003922629514405519
ANAPOLIS_GO;ANÁPOLIS;GO;170;44;126;6;29;0,03529411764705882;0,003533001445318773;0,00373366521468575;0,0022034520749173708;0,003922629514405519
MOREIRA SALES_PR;MOREIRA SALES;PR;170;22;148;4;13;0,023529411764705882;0,0017665007226593866;0,004385575014075325;0,0014689680499449136;0,0017584201271473015
TERESINA_PI;TERESINA;PI;162;43;119;4;34;0,024691358024691357;0,0034527059579251645;0,0035262393694254304;0,0014689680499449136;0,0045989449479237115
APUCARANA_PR;APUCARANA;PR;162;49;113;10;31;0,06172839506172839;0,003934478882286816;0,003348445787773728;0,003672420124862284;0,004193155687812796
SAO JOSE_SC;SÃO JOSÉ;SC;160;37;123;12;24;0,075;0,0029709330335635138;0,0036447684238598986;0,0044069041498347415;0,003246314080887326
PARANAVAI_PR;PARANAVAÍ;PR;160;33;127;10;19;0,0625;0,0026497510839890797;0,003763297478294367;0,003672420124862284;0,002569998647369133
BALNEARIO CAMBORIU_SC;BALNEÁRIO CAMBORIÚ;SC;155;59;96;13;35;0,08387096774193549;0,0047374337562229;0,002844697306427238;0,004774146162320969;0,00473420803462735
SORRISO_MT;SORRISO;MT;154;49;105;14;33;0,09090909090909091;0,003934478882286816;0,0031113876789047915;0,005141388174807198;0,004463681861220073
JUIZ DE FORA_MG;JUIZ DE FORA;MG;154;47;107;8;28;0,05194805194805195;0,0037738879074995985;0,0031706522061220256;0,0029379360998898272;0,0037873664277018803
ARACAJU_SE;ARACAJU;SE;152;64;88;9;44;0,05921052631578947;0,005138911193190943;0,0026076391975583015;0,0033051781123760557;0,005951575814960097
CERRO AZUL_PR;CERRO AZUL;PR;150;35;115;12;11;0,08;0,0028103420587762967;0,003407710314990962;0,0044069041498347415;0,0014878939537400244
MOSSORO_RN;MOSSORÓ;RN;150;59;91;9;34;0,06;0,0047374337562229;0,0026965359883841526;0,0033051781123760557;0,0045989449479237115
IMBITUVA_PR;IMBITUVA;PR;149;17;132;0;13;0,0;0,0013650232856913442;0,003911458796337452;0,0;0,0017584201271473015
ITU_SP;ITU;SP;149;37;112;9;26;0,06040268456375839;0,0029709330335635138;0,003318813524165111;0,0033051781123760557;0,003516840254294603
LINHARES_ES;LINHARES;ES;147;57;90;9;40;0,061224489795918366;0,004576842781435683;0,0026669037247755356;0,0033051781123760557;0,005410523468145543
ARUJA_SP;ARUJÁ;SP;146;33;113;7;24;0,04794520547945205;0,0026497510839890797;0,003348445787773728;0,002570694087403599;0,003246314080887326
CONCORDIA_SC;CONCÓRDIA;SC;145;12;133;3;9;0,020689655172413793;0,0009635458487233017;0,00394109105994607;0,0011017260374586854;0,0012173677803327472
SAO JERONIMO_RS;SÃO JERÔNIMO;RS;143;45;98;10;26;0,06993006993006994;0,0036132969327123815;0,002903961833644472;0,003672420124862284;0,003516840254294603
MARABA_PA;MARABÁ;PA;138;20;118;1;15;0,007246376811594203;0,0016059097478721696;0,0034966071058168133;0,0003672420124862284;0,002028946300554579
RIO DO SUL_SC;RIO DO SUL;SC;137;27;110;8;18;0,058394160583941604;0,002167978159627429;0,003259548996947877;0,0029379360998898272;0,0024347355606654944
FEIRA DE SANTANA_BA;FEIRA DE SANTANA;BA;135;54;81;7;37;0,05185185185185185;0,004335956319254858;0,002400213352297982;0,002570694087403599;0,005004734208034627
CIANORTE_PR;CIANORTE;PR;135;35;100;7;19;0,05185185185185185;0,0028103420587762967;0,002963226360861706;0,002570694087403599;0,002569998647369133
MACEIO_AL;MACEIÓ;AL;133;62;71;5;42;0,03759398496240601;0,004978320218403725;0,0021038907162118114;0,001836210062431142;0,00568104964155282
SAO LEOPOLDO_RS;SÃO LEOPOLDO;RS;125;35;90;10;22;0,08;0,0028103420587762967;0,0026669037247755356;0,003672420124862284;0,0029757879074800487
CAMPO LARGO_PR;CAMPO LARGO;PR;124;47;77;16;24;0,12903225806451613;0,0037738879074995985;0,0022816842978635138;0,0058758721997796545;0,003246314080887326
JATAI_GO;JATAÍ;GO;123;42;81;10;27;0,08130081300813008;0,003372410470531556;0,002400213352297982;0,003672420124862284;0,0036521033409982417
CAMBE_PR;CAMBÉ;PR;121;44;77;10;27;0,08264462809917356;0,003533001445318773;0,0022816842978635138;0,003672420124862284;0,0036521033409982417
ITUMBIARA_GO;ITUMBIARA;GO;120;27;93;8;15;0,06666666666666667;0,002167978159627429;0,0027558005156013868;0,0029379360998898272;0,002028946300554579
CAMPO MOURAO_PR;CAMPO MOURÃO;PR;120;29;91;6;21;0,05;0,002328569134414646;0,0026965359883841526;0,0022034520749173708;0,00284052482077641
LOANDA_PR;LOANDA;PR;120;31;89;10;18;0,08333333333333333;0,0024891601092018626;0,0026372714611669185;0,003672420124862284;0,0024347355606654944
PALHOCA_SC;PALHOÇA;SC;119;36;83;5;24;0,04201680672268908;0,0028906375461699055;0,002459477879515216;0,001836210062431142;0,003246314080887326
BRACO DO NORTE_SC;BRAÇO DO NORTE;SC;119;30;89;12;15;0,10084033613445378;0,0024088646218082543;0,0026372714611669185;0,0044069041498347415;0,002028946300554579
CARAMBEI_PR;CARAMBEÍ;PR;118;24;94;5;14;0,0423728813559322;0,0019270916974466034;0,002785432779210004;0,001836210062431142;0,0018936832138509402
RECIFE_PE;RECIFE;PE;114;45;69;4;22;0,03508771929824561;0,0036132969327123815;0,0020446261889945773;0,0014689680499449136;0,0029757879074800487
MONTES CLAROS_MG;MONTES CLAROS;MG;112;34;78;10;20;0,08928571428571429;0,0027300465713826884;0,002311316561472131;0,003672420124862284;0,0027052617340727714
CAMBORIU_SC;CAMBORIÚ;SC;112;47;65;12;28;0,10714285714285714;0,0037738879074995985;0,001926097134560109;0,0044069041498347415;0,0037873664277018803
NATAL_RN;NATAL;RN;110;47;63;4;30;0,03636363636363636;0,0037738879074995985;0,001866832607342875;0,0014689680499449136;0,004057892601109158
AMAMBAI_MS;AMAMBAI;MS;110;53;57;4;40;0,03636363636363636;0,00425566083186125;0,0016890390256911725;0,0014689680499449136;0,005410523468145543
ASSAI_PR;ASSAÍ;PR;109;36;73;14;17;0,12844036697247707;0,0028906375461699055;0,0021631552434290455;0,005141388174807198;0,0022994724739618558
VITORIA_ES;VITÓRIA;ES;108;26;82;4;20;0,037037037037037035;0,0020876826722338203;0,002429845615906599;0,0014689680499449136;0,0027052617340727714
CAXIAS DO SUL_RS;CAXIAS DO SUL;RS;107;29;78;6;21;0,056074766355140186;0,002328569134414646;0,002311316561472131;0,0022034520749173708;0,00284052482077641
PONTA GROSSA_PR;PONTA GROSSA;PR;106;39;67;6;23;0,05660377358490566;0,003131524008350731;0,001985361661777343;0,0022034520749173708;0,0031110509941836874
BARRETOS_SP;BARRETOS;SP;106;31;75;7;21;0,0660377358490566;0,0024891601092018626;0,0022224197706462796;0,002570694087403599;0,00284052482077641
TANGARA DA SERRA_MT;TANGARÁ DA SERRA;MT;106;22;84;7;12;0,0660377358490566;0,0017665007226593866;0,002489110143123833;0,002570694087403599;0,001623157040443663
AMPERE_PR;AMPÉRE;PR;105;9;96;5;3;0,047619047619047616;0,0007226593865424764;0,002844697306427238;0,001836210062431142;0,00040578926011091576
TAUBATE_SP;TAUBATÉ;SP;105;26;79;8;15;0,0761904761904762;0,0020876826722338203;0,002340948825080748;0,0029379360998898272;0,002028946300554579
ARACRUZ_ES;ARACRUZ;ES;104;29;75;9;13;0,08653846153846154;0,002328569134414646;0,0022224197706462796;0,0033051781123760557;0,0017584201271473015
SUZANO_SP;SUZANO;SP;104;38;66;9;20;0,08653846153846154;0,003051228520957122;0,001955729398168726;0,0033051781123760557;0,0027052617340727714
BARUERI_SP;BARUERI;SP;103;35;68;8;22;0,07766990291262135;0,0028103420587762967;0,00201499392538596;0,0029379360998898272;0,0029757879074800487
PATOS DE MINAS_MG;PATOS DE MINAS;MG;102;15;87;3;11;0,029411764705882353;0,0012044323109041272;0,0025780069339496844;0,0011017260374586854;0,0014878939537400244
RONDONOPOLIS_MT;RONDONÓPOLIS;MT;100;25;75;6;17;0,06;0,002007387184840212;0,0022224197706462796;0,0022034520749173708;0,0022994724739618558
ALAGOA_MG;ALAGOA;MG;100;32;68;7;21;0,07;0,0025694555965954714;0,00201499392538596;0,002570694087403599;0,00284052482077641
AMERICANA_SP;AMERICANA;SP;100;30;70;7;13;0,07;0,0024088646218082543;0,0020742584526031943;0,002570694087403599;0,0017584201271473015
PIRAQUARA_PR;PIRAQUARA;PR;100;30;70;7;19;0,07;0,0024088646218082543;0,0020742584526031943;0,002570694087403599;0,002569998647369133
TABOAO DA SERRA_SP;TABOÃO DA SERRA;SP;100;24;76;9;10;0,09;0,0019270916974466034;0,0022520520342548967;0,0033051781123760557;0,0013526308670363857
ARAUCARIA_PR;ARAUCÁRIA;PR;99;43;56;10;22;0,10101010101010101;0,0034527059579251645;0,0016594067620825555;0,003672420124862284;0,0029757879074800487
TERRA RICA_PR;TERRA RICA;PR;99;27;72;5;15;0,050505050505050504;0,002167978159627429;0,0021335229798204285;0,001836210062431142;0,002028946300554579
CANOAS_RS;CANOAS;RS;98;46;52;7;28;0,07142857142857142;0,0036935924201059902;0,0015408777076480872;0,002570694087403599;0,0037873664277018803
NAVEGANTES_SC;NAVEGANTES;SC;97;40;57;12;25;0,12371134020618557;0,003211819495744339;0,0016890390256911725;0,0044069041498347415;0,0033815771675909643
CAMPINAS DO SUL_RS;CAMPINAS DO SUL;RS;97;24;73;5;14;0,05154639175257732;0,0019270916974466034;0,0021631552434290455;0,001836210062431142;0,0018936832138509402
FRANCA_SP;FRANCA;SP;96;26;70;2;19;0,020833333333333332;0,0020876826722338203;0,0020742584526031943;0,0007344840249724568;0,002569998647369133
NOVA MUTUM_MT;NOVA MUTUM;MT;96;16;80;4;11;0,041666666666666664;0,0012847277982977357;0,002370581088689365;0,0014689680499449136;0,0014878939537400244
MARILUZ_PR;MARILUZ;PR;96;13;83;7;3;0,07291666666666667;0,0010438413361169101;0,002459477879515216;0,002570694087403599;0,00040578926011091576
PIRAI DO SUL_PR;PIRAÍ DO SUL;PR;96;40;56;9;23;0,09375;0,003211819495744339;0,0016594067620825555;0,0033051781123760557;0,0031110509941836874
CENTENARIO DO SUL_PR;CENTENÁRIO DO SUL;PR;95;28;67;6;13;0,06315789473684211;0,0022482736470210373;0,001985361661777343;0,0022034520749173708;0,0017584201271473015
PAICANDU_PR;PAIÇANDU;PR;93;39;54;13;22;0,13978494623655913;0,003131524008350731;0,0016001422348653213;0,004774146162320969;0,0029757879074800487
SAO JORGE DO IVAI_PR;SÃO JORGE DO IVAÍ;PR;92;8;84;3;3;0,03260869565217391;0,0006423638991488678;0,002489110143123833;0,0011017260374586854;0,00040578926011091576
CAMPO MAGRO_PR;CAMPO MAGRO;PR;90;28;62;3;20;0,03333333333333333;0,0022482736470210373;0,0018372003437342578;0,0011017260374586854;0,0027052617340727714
MURIAE_MG;MURIAÉ;MG;89;20;69;5;14;0,056179775280898875;0,0016059097478721696;0,0020446261889945773;0,001836210062431142;0,0018936832138509402
MOCOCA_SP;MOCOCA;SP;88;31;57;5;16;0,056818181818181816;0,0024891601092018626;0,0016890390256911725;0,001836210062431142;0,002164209387258217
BELA VISTA DO PIAUI_PI;BELA VISTA DO PIAUÍ;PI;86;12;74;1;7;0,011627906976744186;0,0009635458487233017;0,0021927875070376626;0,0003672420124862284;0,0009468416069254701
ITAJAI_SC;ITAJAÍ;SC;85;28;57;8;18;0,09411764705882353;0,0022482736470210373;0,0016890390256911725;0,0029379360998898272;0,0024347355606654944
TUNEIRAS DO OESTE_PR;TUNEIRAS DO OESTE;PR;85;7;78;0;7;0,0;0,0005620684117552593;0,002311316561472131;0,0;0,0009468416069254701
INDAIAL_SC;INDAIAL;SC;84;17;67;0;16;0,0;0,0013650232856913442;0,001985361661777343;0,0;0,002164209387258217
FRANCISCO MORATO_SP;FRANCISCO MORATO;SP;83;20;63;3;12;0,03614457831325301;0,0016059097478721696;0,001866832607342875;0,0011017260374586854;0,001623157040443663
XAMBRE_PR;XAMBRÊ;PR;83;16;67;5;10;0,060240963855421686;0,0012847277982977357;0,001985361661777343;0,001836210062431142;0,0013526308670363857
JUAZEIRO DO NORTE_CE;JUAZEIRO DO NORTE;CE;83;28;55;3;18;0,03614457831325301;0,0022482736470210373;0,0016297744984739384;0,0011017260374586854;0,0024347355606654944
ARAXA_MG;ARAXÁ;MG;83;27;56;2;23;0,024096385542168676;0,002167978159627429;0,0016594067620825555;0,0007344840249724568;0,0031110509941836874
UBERABA_MG;UBERABA;MG;82;20;62;5;13;0,06097560975609756;0,0016059097478721696;0,0018372003437342578;0,001836210062431142;0,0017584201271473015
FOZ DO IGUACU_PR;FOZ DO IGUAÇU;PR;81;26;55;7;16;0,08641975308641975;0,0020876826722338203;0,0016297744984739384;0,002570694087403599;0,002164209387258217
CAMPOS NOVOS_SC;CAMPOS NOVOS;SC;81;15;66;2;9;0,024691358024691357;0,0012044323109041272;0,001955729398168726;0,0007344840249724568;0,0012173677803327472
ANGRA DOS REIS_RJ;ANGRA DOS REIS;RJ;80;25;55;7;15;0,0875;0,002007387184840212;0,0016297744984739384;0,002570694087403599;0,002028946300554579
CAPINZAL_SC;CAPINZAL;SC;80;12;68;1;10;0,0125;0,0009635458487233017;0,00201499392538596;0,0003672420124862284;0,0013526308670363857
ARAPONGAS_PR;ARAPONGAS;PR;79;24;55;7;17;0,08860759493670886;0,0019270916974466034;0,0016297744984739384;0,002570694087403599;0,0022994724739618558
CANOINHAS_SC;CANOINHAS;SC;78;19;59;3;15;0,038461538461538464;0,001525614260478561;0,0017483035529084067;0,0011017260374586854;0,002028946300554579
ARACATUBA_SP;ARAÇATUBA;SP;77;30;47;2;24;0,025974025974025976;0,0024088646218082543;0,001392716389605002;0,0007344840249724568;0,003246314080887326
ARARAQUARA_SP;ARARAQUARA;SP;76;21;55;1;16;0,013157894736842105;0,001686205235265778;0,0016297744984739384;0,0003672420124862284;0,002164209387258217
ANDIRA_PR;ANDIRÁ;PR;76;12;64;3;8;0,039473684210526314;0,0009635458487233017;0,001896464870951492;0,0011017260374586854;0,0010821046936291085
VIAMAO_RS;VIAMÃO;RS;76;13;63;3;9;0,039473684210526314;0,0010438413361169101;0,001866832607342875;0,0011017260374586854;0,0012173677803327472
VILHENA_RO;VILHENA;RO;75;19;56;10;6;0,13333333333333333;0,001525614260478561;0,0016594067620825555;0,003672420124862284;0,0008115785202218315
SAO JOSE DOS PINHAIS_PR;SÃO JOSÉ DOS PINHAIS;PR;75;22;53;4;15;0,05333333333333334;0,0017665007226593866;0,0015705099712567043;0,0014689680499449136;0,002028946300554579
GUARUJA_SP;GUARUJÁ;SP;72;21;51;4;12;0,05555555555555555;0,001686205235265778;0,0015112454440394702;0,0014689680499449136;0,001623157040443663
PARNAIBA_PI;PARNAÍBA;PI;71;15;56;3;11;0,04225352112676056;0,0012044323109041272;0,0016594067620825555;0,0011017260374586854;0,0014878939537400244
JAGUARIAIVA_PR;JAGUARIAÍVA;PR;71;16;55;4;12;0,056338028169014086;0,0012847277982977357;0,0016297744984739384;0,0014689680499449136;0,001623157040443663
LIMEIRA_SP;LIMEIRA;SP;71;19;52;3;11;0,04225352112676056;0,001525614260478561;0,0015408777076480872;0,0011017260374586854;0,0014878939537400244
PALOTINA_PR;PALOTINA;PR;71;10;61;2;8;0,028169014084507043;0,0008029548739360848;0,0018075680801256408;0,0007344840249724568;0,0010821046936291085
